model_type,dataset,time,mse,mape
XGB,co2-1_zone_022_co2,1.9539527501910925,0.016230598642910054,0.5717874748681386
XGB,co2-1_zone_052_co2,2.108660375000909,0.02454635159917381,0.7343521716439283
XGB,co2-1_zone_072_co2,1.9267909589689225,0.027501168993385696,0.6183993673783441
XGB,co2-2_zone_022_co2,1.8556898329406977,0.01814871552260403,1.2226677771787167
XGB,co2-2_zone_052_co2,1.9912755000405014,0.18221191249160096,2.2814356092022963
XGB,co2-2_zone_072_co2,2.1278029999230057,0.13475613648977605,1.1950562517532488
XGB,ele-1_mels_S,0.5584591249935329,0.042886088501376415,2.5753293725906583
XGB,ele-2_mels_S,0.7003183749038726,0.1514179925611545,1.0861429132385947
LSMT,co2-1_zone_022_co2,746.3619855418801,0.016886816911295333,0.5570632929744737
LSMT,co2-1_zone_052_co2,731.5705275419168,0.024515645301448185,0.7439344492227046
LSMT,co2-1_zone_072_co2,730.0755857499316,0.02892687627453538,0.6056938762700806
LSMT,co2-2_zone_022_co2,743.1075488750357,0.017697494630947087,1.2184133098704997
LSMT,co2-2_zone_052_co2,732.7121510000434,0.18135816386255305,2.316798755863572
LSMT,co2-2_zone_072_co2,745.5898501670454,0.1399028343376633,1.2170579308145
LSMT,ele-1_mels_S,51.407640208955854,0.04187607104651029,2.6853856804387743
LSMT,ele-2_mels_S,51.24577487492934,0.1797798807365744,1.0059791869375514
